Track ID,Track Name,Artist,Album,Release Date,Genre,Popularity,Explicit,Danceability,Energy,Key,Key_Mode,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time_Signature,Artist_Followers
SP-000019,Electric Pulse Radio Edit,Musician_R&B_012,Album_Musician_R&B_012_01,2022-11-13,R&B,53,False,0.3819,0.6414,9,A-Major,-9.0461,1,0.1587,0.2026,0.0,0.0965,0.7645,70.5,222651,4,8573
SP-000020,Broken Glass,Musician_Latin_004,Album_Musician_Latin_004_05,2016-06-11,Latin,54,False,0.9783,0.7538,0,C-Minor,-5.1857,0,0.0566,0.1662,0.0267,0.3963,0.7393,103.7,246609,4,437
SP-000021,Shadow Dance,Musician_Rock_016,Album_Musician_Rock_016_01,2019-02-06,Rock,63,True,0.6254,0.7425,3,D#-Major,-4.563,1,0.0412,0.0,0.0,0.1823,0.7228,158.3,308737,4,438
SP-000022,Golden Hour,Musician_Pop_011,Album_Musician_Pop_011_05,2016-08-20,Pop,92,True,0.7864,0.6208,4,E-Minor,-12.0376,0,0.0787,0.0738,0.0197,0.0993,0.6204,116.4,170650,4,2932
SP-000023,City Lights Radio Edit,Musician_Metal_006,Album_Musician_Metal_006_01,2020-09-14,Metal,12,True,0.2839,0.9529,11,B-Major,-4.8967,1,0.1612,0.0041,0.3935,0.3945,0.2915,88.8,248543,4,177596
SP-000024,Crimson Tide,Musician_Rock_015,Album_Musician_Rock_015_05,2016-06-15,Rock,52,False,0.552,0.9184,8,G#-Minor,-6.2995,0,0.1702,0.024,0.1414,0.1069,0.1774,205.7,275471,4,3597
SP-000025,Diamond Eyes,Musician_Rock_010,Album_Musician_Rock_010_07,2022-05-30,Rock,86,True,0.665,0.6288,10,A#-Major,-6.4385,1,0.0683,0.1592,0.1698,0.2729,0.2702,168.9,213067,3,391
SP-000026,Wild Heart,Musician_Latin_007,Album_Musician_Latin_007_01,2020-04-09,Latin,58,False,0.8577,1.0,5,F-Major,-4.1839,1,0.055,0.2897,0.0417,0.0788,0.8797,109.9,206846,4,49927
SP-000027,City Lights Live,Musician_Classical_021,Album_Musician_Classical_021_06,2015-03-17,Classical,43,False,0.03,0.0,1,C#-Major,-26.2545,1,0.0026,0.7561,0.6851,0.0999,0.2707,105.5,490323,4,783
SP-000028,Iron Heart,Musician_Electronic_003,Album_Musician_Electronic_003_02,2021-10-13,Electronic,49,True,0.7872,0.8632,9,A-Major,-6.887,1,0.0917,0.0502,0.6105,0.1449,0.3479,110.4,256517,4,10393
SP-000029,River Flow Extended Mix,Musician_Hip-Hop_010,Album_Musician_Hip-Hop_010_07,2022-01-22,Hip-Hop,91,False,0.6758,0.7609,11,B-Major,-6.3075,1,0.1565,0.1634,0.0106,0.1266,0.5902,89.5,159859,4,165328
SP-000030,Silver Moon Acoustic,Musician_Hip-Hop_003,Album_Musician_Hip-Hop_003_03,2021-06-23,Hip-Hop,71,False,0.7192,0.6258,10,A#-Major,-9.7119,1,0.1931,0.0508,0.0,0.032,0.6085,92.5,215728,4,41800
SP-000031,Whispering Wind Acoustic,Musician_Rock_009,Album_Musician_Rock_009_07,2021-01-29,Rock,84,False,0.539,0.8387,1,C#-Major,-6.2056,1,0.008,0.119,0.0,0.3239,0.2779,124.1,335865,4,1813
SP-000032,City Lights Radio Edit,Musician_Latin_016,Album_Musician_Latin_016_01,2018-06-11,Latin,41,False,0.6452,0.8072,6,F#-Minor,-11.4368,0,0.0769,0.2004,0.0197,0.0418,0.5018,111.3,230160,4,1282
SP-000033,Rising Sun,Musician_Rock_005,Album_Musician_Rock_005_03,2015-12-08,Rock,46,True,0.5384,0.7536,4,E-Minor,-7.9177,0,0.1148,0.4752,0.0474,0.1675,0.5666,125.4,188838,4,602
SP-000034,Autumn Leaves,Musician_Hip-Hop_011,Album_Musician_Hip-Hop_011_02,2020-04-25,Hip-Hop,65,False,0.4882,0.5884,7,G-Major,-1.5459,1,0.0198,0.0,0.0,0.089,0.5648,102.0,233258,4,144418
SP-000035,Crimson Tide Radio Edit,Musician_Jazz_002,Album_Musician_Jazz_002_02,2014-08-31,Jazz,20,False,0.437,0.502,7,G-Minor,-18.5772,0,0.0271,0.532,0.7964,0.0898,0.4409,160.3,390047,4,2602
SP-000036,Silver Lining,Musician_Rock_009,Album_Musician_Rock_009_03,2017-04-02,Rock,29,True,0.4534,0.6397,8,G#-Minor,-9.2651,0,0.0833,0.0,0.0,0.3919,0.225,132.9,297821,4,1813
SP-000037,Falling Stars Remix,Musician_Classical_011,Album_Musician_Classical_011_05,2020-09-28,Classical,51,False,0.258,0.0,6,F#-Major,-18.5137,1,0.0407,0.8057,1.0,0.2143,0.3883,82.7,561591,4,974
SP-000038,Burning Flame Acoustic,Musician_Latin_007,Album_Musician_Latin_007_03,2016-06-16,Latin,63,False,0.7966,0.6694,4,E-Minor,-4.4522,0,0.1027,0.0691,0.0161,0.1675,0.4805,72.7,178570,4,49927
SP-000039,Burning Flame,Musician_Hip-Hop_014,Album_Musician_Hip-Hop_014_07,2018-12-12,Hip-Hop,79,False,0.805,0.4154,9,A-Major,-5.282,1,0.1074,0.0879,0.0351,0.1774,0.7835,94.1,188659,4,8861
SP-000040,Eternal Flame,Musician_Rock_016,Album_Musician_Rock_016_01,2016-12-29,Rock,93,True,0.3452,0.8193,8,G#-Major,-3.4473,1,0.0,0.2884,0.043,0.387,0.4824,159.8,206064,4,438
SP-000041,Sapphire Sky,Musician_Hip-Hop_006,Album_Musician_Hip-Hop_006_03,2015-12-04,Hip-Hop,83,False,0.9347,0.6344,1,C#-Minor,-7.3384,0,0.2755,0.2619,0.0541,0.2836,0.2224,96.9,154893,4,2257
SP-000042,Falling Stars Remix,Musician_Pop_008,Album_Musician_Pop_008_07,2016-12-01,Pop,41,False,0.7869,0.6842,2,D-Major,-5.4851,1,0.0778,0.2083,0.0025,0.0139,0.614,113.1,237838,5,711457
SP-000043,Falling Stars Remix,Musician_R&B_016,Album_Musician_R&B_016_07,2021-01-29,R&B,92,False,0.8906,0.4331,4,E-Major,-12.5397,1,0.0216,0.525,0.0,0.1137,0.6519,102.5,239744,4,131573
SP-000044,Silver Moon Live,Musician_Classical_010,Album_Musician_Classical_010_07,2018-04-15,Classical,9,False,0.5409,0.2551,1,C#-Major,-22.2984,1,0.0435,0.7864,0.9352,0.1198,0.2895,68.0,362395,4,2399
SP-000045,Crystal Rain Live,Musician_Jazz_019,Album_Musician_Jazz_019_01,2022-10-22,Jazz,42,False,0.6547,0.3616,4,E-Major,-10.5561,1,0.075,0.5601,0.4645,0.075,0.6882,133.8,203275,4,1043552
SP-000046,Fading Light Live,Musician_Rock_019,Album_Musician_Rock_019_04,2014-12-05,Rock,52,True,0.6944,0.8228,0,C-Minor,-5.4612,0,0.0287,0.1046,0.1365,0.2251,0.2067,126.0,336980,4,2509365
SP-000047,Moonlight Sonata,Musician_Electronic_004,Album_Musician_Electronic_004_07,2017-01-10,Electronic,45,False,0.8729,0.9707,9,A-Major,-8.9731,1,0.0253,0.0,0.1156,0.2108,0.1301,116.9,283261,4,1303
SP-000048,Wild Heart,Musician_Jazz_012,Album_Musician_Jazz_012_07,2016-03-20,Jazz,58,False,0.423,0.1045,9,A-Minor,-11.1309,0,0.1116,0.7164,0.7101,0.3247,0.4865,50.0,349968,4,285242
SP-000049,Diamond Eyes Acoustic,Musician_Rock_010,Album_Musician_Rock_010_04,2020-06-12,Rock,71,False,0.4806,0.5293,3,D#-Major,-7.594,1,0.088,0.0384,0.1621,0.235,0.6144,160.9,286557,4,391
SP-000050,Electric Pulse,Musician_Jazz_011,Album_Musician_Jazz_011_06,2016-03-08,Jazz,97,True,0.6342,0.492,3,D#-Minor,-8.99,0,0.0523,0.3087,0.4201,0.2442,0.7462,66.2,234884,4,375335
SP-000051,Frozen Lake,Musician_Pop_003,Album_Musician_Pop_003_02,2014-06-15,Pop,82,False,0.7843,0.802,2,D-Major,-1.7711,1,0.0273,0.0388,0.0,0.0729,0.4648,156.5,260322,4,79256
SP-000052,City Lights,Musician_Electronic_008,Album_Musician_Electronic_008_07,2015-09-07,Electronic,67,False,0.8087,0.8852,2,D-Major,-5.0032,1,0.047,0.0,0.5107,0.2833,0.748,111.8,371143,4,37845
SP-000053,City Lights,Musician_Electronic_008,Album_Musician_Electronic_008_06,2021-10-03,Electronic,100,True,0.8217,0.6085,0,C-Minor,-3.6555,0,0.062,0.0345,0.0,0.0222,0.1486,128.0,210345,4,37845
SP-000054,Silver Lining,Musician_Country_012,Album_Musician_Country_012_05,2023-11-27,Country,49,False,0.4822,0.3717,1,C#-Minor,-9.8033,0,0.0774,0.1069,0.0746,0.1562,0.421,109.9,201950,4,26599
SP-000055,Mountain High,Musician_Rock_019,Album_Musician_Rock_019_06,2022-08-28,Rock,55,False,0.4566,0.7037,3,D#-Major,-7.2838,1,0.1188,0.0,0.0,0.23,0.5725,150.2,280745,4,2509365
SP-000056,Autumn Leaves,Musician_Pop_009,Album_Musician_Pop_009_04,2018-08-07,Pop,98,False,0.845,0.5343,9,A-Major,-10.4479,1,0.0815,0.3428,0.0,0.1455,0.4998,109.6,196838,4,21563
SP-000057,Spring Rain Live,Musician_Jazz_007,Album_Musician_Jazz_007_02,2023-05-20,Jazz,59,False,0.4885,0.522,2,D-Major,-22.5484,1,0.0312,0.8399,0.4395,0.0342,0.932,105.1,233562,4,216422
SP-000058,Shadow Dance,Musician_Jazz_009,Album_Musician_Jazz_009_01,2016-05-20,Jazz,52,False,0.5183,0.2109,8,G#-Major,-11.4002,1,0.0,0.5118,0.6164,0.0686,0.4943,102.0,265813,5,4979
SP-000059,Northern Lights Remix,Musician_Pop_012,Album_Musician_Pop_012_01,2015-08-07,Pop,86,True,0.7786,0.7422,0,C-Minor,-7.2612,0,0.1222,0.1854,0.0777,0.265,0.3193,140.9,192713,4,49784
SP-000060,Silver Lining,Musician_Metal_001,Album_Musician_Metal_001_04,2015-12-20,Metal,64,False,0.3242,0.9324,8,G#-Minor,-1.4613,0,0.0802,0.0127,0.0749,0.0,0.4165,178.8,137062,4,3255
SP-000061,Purple Haze,Musician_Hip-Hop_002,Album_Musician_Hip-Hop_002_06,2018-01-03,Hip-Hop,68,False,0.7583,0.5967,9,A-Minor,-1.6416,0,0.2793,0.3113,0.0,0.2051,0.4029,122.0,180947,4,1162
SP-000062,Spring Rain,Musician_Rock_004,Album_Musician_Rock_004_01,2020-07-28,Rock,62,False,0.5621,0.6717,1,C#-Minor,-5.8968,0,0.0121,0.1343,0.2427,0.2721,0.8905,131.9,283816,4,24395
SP-000063,Mountain High Live,Musician_Classical_027,Album_Musician_Classical_027_03,2022-06-23,Classical,6,False,0.2441,0.0708,0,C-Major,-19.6723,1,0.0296,1.0,0.42,0.0,0.0,93.6,285865,5,1108
SP-000064,Midnight Dreams Live,Musician_Jazz_007,Album_Musician_Jazz_007_02,2018-06-29,Jazz,31,True,0.7433,0.4463,3,D#-Major,-15.2851,1,0.0,0.6137,0.2179,0.008,0.5236,109.7,292987,4,216422
SP-000065,Iron Heart Live,Musician_R&B_006,Album_Musician_R&B_006_06,2023-12-12,R&B,46,True,0.7659,0.4019,3,D#-Minor,-6.7344,0,0.093,0.1604,0.0,0.1687,0.1884,120.4,208663,4,10396
SP-000066,Thunder Road Live,Musician_Pop_004,Album_Musician_Pop_004_04,2018-04-12,Pop,60,False,0.7383,0.7085,1,C#-Major,-4.1989,1,0.1242,0.3927,0.0,0.0103,0.3614,128.9,226023,4,70
SP-000067,Winter Storm Extended Mix,Musician_Electronic_012,Album_Musician_Electronic_012_05,2019-03-17,Electronic,26,False,0.6716,0.7044,10,A#-Major,-1.2576,1,0.0909,0.0,0.3672,0.2451,0.7012,109.2,297594,4,530
SP-000068,Desert Storm Extended Mix,Musician_Latin_020,Album_Musician_Latin_020_02,2020-09-26,Latin,83,True,0.8842,0.7828,0,C-Minor,-5.5827,0,0.0981,0.2906,0.0071,0.12,0.9309,114.2,239155,4,7797
SP-000069,Silver Moon Radio Edit,Musician_Classical_020,Album_Musician_Classical_020_04,2014-01-20,Classical,36,False,0.5365,0.1332,7,G-Minor,-12.8585,0,0.0145,1.0,0.6363,0.1001,0.7231,88.4,442114,4,1261
SP-000070,Neon Lights,Musician_Rock_016,Album_Musician_Rock_016_03,2015-05-01,Rock,17,False,0.384,0.639,5,F-Major,-5.8721,1,0.0763,0.2297,0.0077,0.1055,0.2138,104.0,159194,4,438
SP-000071,Crimson Tide,Musician_Electronic_021,Album_Musician_Electronic_021_01,2019-08-18,Electronic,75,False,0.9133,0.9231,4,E-Minor,-4.5614,0,0.1037,0.0,0.8038,0.2089,0.5001,121.4,233410,4,855
SP-000072,Wild Heart,Musician_Classical_019,Album_Musician_Classical_019_06,2020-02-22,Classical,28,False,0.2759,0.2649,9,A-Major,-15.0724,1,0.0741,0.9502,1.0,0.1408,0.3504,50.0,194404,4,31
SP-000073,Moonlight Sonata,Musician_Rock_005,Album_Musician_Rock_005_06,2020-10-08,Rock,62,False,0.5467,0.7047,0,C-Major,-7.1911,1,0.0412,0.0729,0.0237,0.2198,0.4972,106.7,192303,4,602
SP-000074,Endless Summer,Musician_R&B_015,Album_Musician_R&B_015_05,2017-07-06,R&B,42,False,0.6075,0.4414,5,F-Major,-9.4999,1,0.0614,0.0,0.0142,0.1962,0.1196,86.4,189348,4,46436
SP-000075,Moonlight Sonata Acoustic,Musician_Hip-Hop_009,Album_Musician_Hip-Hop_009_03,2015-03-17,Hip-Hop,56,False,0.8277,0.6982,11,B-Major,-1.9178,1,0.1633,0.0,0.0264,0.1437,0.6087,97.1,271723,4,7988
SP-000076,Golden Hour,Musician_R&B_011,Album_Musician_R&B_011_06,2023-12-14,R&B,48,False,0.7335,0.5309,1,C#-Minor,-7.7167,0,0.0421,0.4994,0.0272,0.2322,0.5069,92.6,170087,4,2390
SP-000077,Autumn Leaves Remix,Musician_Rock_006,Album_Musician_Rock_006_07,2018-10-08,Rock,92,True,0.3977,1.0,0,C-Minor,-6.6981,0,0.0078,0.1813,0.0,0.1463,0.2579,138.6,297821,4,485442
SP-000078,Silver Lining,Musician_Electronic_017,Album_Musician_Electronic_017_05,2014-05-17,Electronic,43,False,0.7483,0.7079,1,C#-Minor,-3.7442,0,0.0728,0.0754,0.4021,0.2533,0.0649,132.9,203770,5,22905
SP-000079,Silver Lining,Musician_Classical_011,Album_Musician_Classical_011_01,2018-01-20,Classical,11,False,0.2819,0.0,11,B-Major,-26.6921,1,0.0337,0.8886,0.8506,0.1608,0.2543,72.7,252574,4,974
SP-000080,Ruby Tuesday Live,Musician_Latin_007,Album_Musician_Latin_007_01,2014-10-12,Latin,60,False,1.0,0.7604,4,E-Major,-6.9212,1,0.076,0.1619,0.0167,0.3367,0.7441,138.8,261303,4,49927
SP-000081,City Lights,Musician_Electronic_020,Album_Musician_Electronic_020_07,2017-05-17,Electronic,62,False,0.6728,1.0,1,C#-Major,-1.3231,1,0.0,0.0529,0.366,0.2621,0.0,130.8,177735,4,223212
SP-000082,Silver Moon,Musician_Hip-Hop_014,Album_Musician_Hip-Hop_014_05,2014-07-11,Hip-Hop,31,False,0.7812,0.5935,6,F#-Major,-3.7193,1,0.0,0.145,0.0479,0.048,0.9403,82.9,169263,4,8861
SP-000083,Wild Heart,Musician_Classical_023,Album_Musician_Classical_023_07,2020-04-20,Classical,39,False,0.4254,0.1845,4,E-Major,-21.7982,1,0.078,0.9416,0.6584,0.1297,0.3185,68.5,329062,4,143
SP-000084,Dancing Shadows Remix,Musician_Pop_004,Album_Musician_Pop_004_07,2019-09-27,Pop,84,False,0.7769,0.6832,6,F#-Major,-9.4521,1,0.1441,0.1566,0.0,0.1779,0.28,123.2,209957,4,70
SP-000085,Spring Rain Radio Edit,Musician_R&B_013,Album_Musician_R&B_013_05,2016-01-11,R&B,76,False,0.6324,0.4803,1,C#-Major,-10.2707,1,0.0326,0.1837,0.0268,0.1717,0.4519,84.9,163516,4,15245
SP-000086,Dancing Shadows Acoustic,Musician_Hip-Hop_014,Album_Musician_Hip-Hop_014_05,2019-05-31,Hip-Hop,67,True,0.8324,0.6905,4,E-Major,-6.0546,1,0.2297,0.0636,0.029,0.1248,0.5034,100.4,156691,4,8861
SP-000087,Lost Highway Remix,Musician_Pop_002,Album_Musician_Pop_002_05,2019-10-14,Pop,59,False,0.5351,0.6143,0,C-Major,-6.814,1,0.065,0.2593,0.0115,0.3056,0.4687,101.7,208506,4,28967
SP-000088,Sunset Boulevard,Musician_Rock_001,Album_Musician_Rock_001_02,2018-01-14,Rock,59,False,0.4096,0.6686,1,C#-Major,-4.8641,1,0.0208,0.1896,0.0321,0.2692,0.1842,207.8,240348,4,156088
SP-000089,Dark Paradise,Musician_Latin_012,Album_Musician_Latin_012_02,2016-06-14,Latin,72,False,0.7957,0.5428,4,E-Minor,-2.1475,0,0.1575,0.2229,0.0362,0.1945,0.8035,137.0,165594,4,7827
SP-000090,Broken Glass,Musician_Rock_016,Album_Musician_Rock_016_01,2016-11-04,Rock,42,False,0.4066,0.8614,4,E-Major,-11.7146,1,0.0056,0.0697,0.2813,0.2089,0.4182,87.2,135430,4,438
SP-000091,Frozen Tears,Musician_Hip-Hop_011,Album_Musician_Hip-Hop_011_01,2017-04-25,Hip-Hop,89,False,0.6225,0.7859,7,G-Major,-4.0185,1,0.0846,0.0,0.0037,0.1918,0.7788,78.0,267328,4,144418
SP-000092,Whispering Wind,Musician_R&B_002,Album_Musician_R&B_002_03,2020-10-09,R&B,35,False,0.673,0.3947,8,G#-Minor,-6.2006,0,0.0737,0.3889,0.0128,0.1888,0.5362,114.4,238157,4,908263
SP-000093,Northern Lights Extended Mix,Musician_Classical_013,Album_Musician_Classical_013_04,2018-02-21,Classical,28,False,0.1572,0.1877,0,C-Major,-16.89,1,0.0516,0.8883,0.7721,0.1627,0.2009,114.1,209592,4,88143
SP-000094,Rising Sun,Musician_Rock_005,Album_Musician_Rock_005_03,2018-09-21,Rock,47,False,0.3425,0.8314,5,F-Minor,-6.9685,0,0.0641,0.2451,0.0563,0.144,0.254,161.3,296930,4,602
SP-000095,Desert Storm,Musician_Pop_004,Album_Musician_Pop_004_04,2023-06-25,Pop,41,False,0.6143,0.6689,2,D-Minor,-7.3458,0,0.0585,0.4014,0.0,0.137,0.6351,126.8,187383,4,70
SP-000096,Thunder Road Remix,Musician_Latin_020,Album_Musician_Latin_020_07,2018-10-21,Latin,48,False,0.7471,0.4173,2,D-Major,-6.8262,1,0.1295,0.3461,0.0225,0.2967,0.891,133.9,182705,4,7797
SP-000097,Spring Rain Remix,Musician_Jazz_012,Album_Musician_Jazz_012_01,2019-06-08,Jazz,38,False,0.4858,0.3092,8,G#-Major,-12.2608,1,0.1212,0.4477,0.2276,0.2019,0.7064,98.7,212170,4,285242
SP-000098,Golden Hour,Musician_R&B_014,Album_Musician_R&B_014_05,2016-03-18,R&B,76,False,0.7241,0.437,11,B-Minor,-11.7494,0,0.1744,0.3758,0.0,0.2482,0.3808,109.3,225791,4,14412605
SP-000099,Neon Lights,Musician_Latin_007,Album_Musician_Latin_007_06,2018-03-16,Latin,49,False,0.8734,1.0,9,A-Major,-3.7763,1,0.0543,0.3542,0.0438,0.2477,0.8798,109.6,265556,4,49927
SP-000100,Emerald City,Musician_Pop_007,Album_Musician_Pop_007_06,2020-04-23,Pop,62,False,0.5884,0.7121,11,B-Major,-11.5998,1,0.0033,0.4414,0.0423,0.1856,0.5945,107.7,160874,4,160172
SP-000101,Neon Lights Remix,Musician_Electronic_006,Album_Musician_Electronic_006_03,2018-03-01,Electronic,74,False,0.8842,0.8515,2,D-Major,-5.8958,1,0.0748,0.1011,0.0737,0.141,0.5694,135.6,207348,4,5299
SP-000102,Falling Stars,Musician_Jazz_018,Album_Musician_Jazz_018_02,2014-02-17,Jazz,30,True,0.533,0.6185,7,G-Major,-12.2835,1,0.1108,0.4803,0.432,0.1651,0.3667,102.6,197727,4,1976
SP-000103,Ocean Wave,Musician_Classical_001,Album_Musician_Classical_001_07,2017-04-22,Classical,13,False,0.4398,0.238,8,G#-Major,-11.2202,1,0.0158,0.5981,0.8975,0.1605,0.5122,78.2,498025,4,3310
SP-000104,Whispering Wind,Musician_Metal_016,Album_Musician_Metal_016_03,2015-01-11,Metal,65,False,0.1964,1.0,4,E-Major,-3.6213,1,0.1213,0.0014,0.2337,0.0,0.2448,129.2,216276,4,3819
SP-000105,Ocean Wave,Musician_Classical_024,Album_Musician_Classical_024_02,2014-11-03,Classical,41,False,0.3117,0.1558,4,E-Minor,-14.6931,0,0.0406,0.9909,0.4772,0.0879,0.4093,142.6,432799,4,267513
SP-000106,Sapphire Sky,Musician_Rock_012,Album_Musician_Rock_012_06,2020-01-28,Rock,38,False,0.3668,0.6925,7,G-Major,-3.3839,1,0.1092,0.1529,0.0,0.1565,0.316,125.5,201437,4,22863
SP-000107,Frozen Lake Acoustic,Musician_R&B_006,Album_Musician_R&B_006_01,2018-06-12,R&B,30,False,0.5195,0.7662,4,E-Major,-9.8221,1,0.0397,0.2293,0.0179,0.2488,0.175,95.1,230190,4,10396
SP-000108,Iron Heart,Musician_Electronic_002,Album_Musician_Electronic_002_03,2019-03-04,Electronic,68,False,0.9493,0.7133,5,F-Minor,-5.5109,0,0.0241,0.0971,0.6095,0.0,0.7231,112.0,258584,4,3359
SP-000109,Purple Haze Extended Mix,Musician_R&B_001,Album_Musician_R&B_001_07,2020-09-24,R&B,58,False,0.7374,0.5926,5,F-Minor,-7.5744,0,0.0,0.5095,0.0,0.2385,0.5241,115.9,193407,4,2374295
SP-000110,Falling Stars Radio Edit,Musician_Pop_006,Album_Musician_Pop_006_06,2022-08-22,Pop,66,False,1.0,0.6667,6,F#-Major,-7.4034,1,0.1355,0.2462,0.0,0.0805,0.7052,167.1,222021,4,8967
SP-000111,Burning Flame,Musician_Hip-Hop_011,Album_Musician_Hip-Hop_011_04,2021-11-21,Hip-Hop,60,False,0.7342,0.657,7,G-Minor,-1.9389,0,0.1661,0.0,0.0,0.1365,0.4539,101.6,292275,4,144418
SP-000112,Lost Highway,Musician_Latin_021,Album_Musician_Latin_021_02,2015-11-08,Latin,72,False,0.9225,0.7593,3,D#-Major,-4.6473,1,0.0795,0.3203,0.0321,0.1303,0.8625,111.6,181542,4,85893
SP-000113,Crimson Tide,Musician_Country_002,Album_Musician_Country_002_05,2022-11-20,Country,73,False,0.495,0.4566,2,D-Major,-8.6886,1,0.0228,0.5382,0.0,0.1828,0.4943,151.6,229582,4,49976
SP-000114,Starlight,Musician_Pop_003,Album_Musician_Pop_003_04,2021-09-16,Pop,65,False,0.5904,0.821,4,E-Minor,-11.3724,0,0.0669,0.3843,0.0143,0.2739,0.4217,112.6,200750,4,79256
SP-000115,Endless Summer Live,Musician_Country_001,Album_Musician_Country_001_07,2014-08-27,Country,31,False,0.6013,0.5708,7,G-Minor,-7.0777,0,0.0117,0.7294,0.0,0.3222,0.5915,143.5,145030,4,869
SP-000116,Emerald City Remix,Musician_Classical_007,Album_Musician_Classical_007_02,2020-11-03,Classical,71,False,0.2508,0.0501,0,C-Minor,-15.2116,0,0.0404,0.9094,0.7607,0.0178,0.3453,50.0,430084,4,475613
